commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
23,2,0,1,34,1,2,0,2,2.0,0,TypeScript,2018-2020,1.0,17.0,0.0,0.67,0
23,5,1,1,11,1,3,0,0,0.0,0,TypeScript,2018-2020,1.0,5.5,0.0,0.0,0
12,6,1,0,2,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,2.0,0.0,0.0,0
19,0,0,0,2,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,2.0,0.0,0.0,0
0,4,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
1,4,0,1,3,7,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.38,0.0,0.0,0
0,1,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
0,1,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
0,1,0,1,34,2,2,0,11,1.0,0,TypeScript,2018-2020,1.0,11.33,0.0,0.33,0
0,1,0,1,29,0,1,0,0,0.0,0,TypeScript,2018-2020,1.0,29.0,0.0,0.0,0
1,1,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
1,1,0,1,20,1,2,0,2,2.5,0,TypeScript,2018-2020,1.0,10.0,0.0,0.83,0
3,1,0,1,40,4,3,0,4,2.5,0,TypeScript,2018-2020,1.0,8.0,0.0,0.62,0
3,1,0,1,4,3,1,0,1,18.0,0,TypeScript,2018-2020,1.0,1.0,0.0,9.0,0
14,3,0,0,46,27,1,0,0,0.0,0,TypeScript,2018-2020,1.0,1.64,0.0,0.0,0
14,3,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
14,3,0,0,2,2,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.67,0.0,0.0,0
