commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
22,2,0,1,2,0,1,0,1,11.0,0,Python,2018-2020,1.0,2.0,0.0,5.5,0
17,6,1,0,96,36,3,0,4,22.5,1,Python,2018-2020,0.4,2.59,0.0,5.62,0
22,6,1,1,53,18,4,0,8,12.75,0,Python,2018-2020,1.0,2.79,0.0,2.55,1
22,6,1,1,6,2,1,0,4,10.5,0,Python,2018-2020,1.0,2.0,0.0,5.25,0
3,0,0,1,87,198,5,2,10,7.1,1,Python,2018-2020,0.4,0.44,0.33,1.18,1
4,0,0,1,3,3,1,0,1,3.0,1,Python,2018-2020,0.4,0.75,0.0,1.5,2
4,0,0,1,6,1,1,0,1,3.0,0,Python,2018-2020,1.0,3.0,0.0,1.5,3
14,0,0,0,2,0,1,0,1,18.0,0,Python,2018-2020,1.0,2.0,0.0,9.0,3
17,0,0,0,3,1,1,0,0,0.0,0,Python,2018-2020,1.0,1.5,0.0,0.0,3
17,0,0,0,185,1,1,0,0,0.0,0,Python,2018-2020,1.0,92.5,0.0,0.0,0
2,1,0,1,59,12,6,4,8,20.75,1,Python,2018-2020,0.4,4.54,0.57,2.96,3
2,1,0,1,3,2,2,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,4
13,1,0,0,25,13,4,0,4,35.25,1,Python,2018-2020,0.4,1.79,0.0,7.05,4
18,1,0,0,1,0,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,5
18,1,0,0,2,2,1,0,1,16.0,0,Python,2018-2020,1.0,0.67,0.0,8.0,5
21,1,0,0,75,65,8,0,13,9.69,1,Python,2018-2020,0.4,1.14,0.0,1.08,5
21,1,0,0,78,0,1,0,0,0.0,0,Python,2018-2020,1.0,78.0,0.0,0.0,0
21,1,0,0,2,1,1,0,1,5.0,1,Python,2018-2020,0.4,1.0,0.0,2.5,6
1,2,0,1,3,0,1,0,1,7.0,1,Python,2018-2020,0.4,3.0,0.0,3.5,7
1,2,0,1,250,103,5,0,3,4.67,1,Python,2018-2020,0.4,2.4,0.0,0.78,8
2,2,0,1,2,3,1,0,0,0.0,0,Python,2018-2020,1.0,0.5,0.0,0.0,9
12,2,0,0,3,2,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,9
23,3,0,1,7,5,2,0,3,3.67,0,Python,2018-2020,1.0,1.17,0.0,1.22,9
0,4,0,1,21,6,2,0,4,14.5,0,Python,2018-2020,1.0,3.0,0.0,4.83,9
13,4,0,0,9,7,5,0,2,8.0,1,Python,2018-2020,0.4,1.12,0.0,1.33,9
15,5,1,0,7,0,1,0,1,68.0,0,Python,2018-2020,1.0,7.0,0.0,34.0,10
18,5,1,0,33,7,1,0,4,5.25,0,Python,2018-2020,1.0,4.12,0.0,2.62,10
14,6,1,0,15,3,1,0,2,8.0,0,Python,2018-2020,1.0,3.75,0.0,4.0,10
20,0,0,0,4,2,1,0,1,14.0,0,Python,2018-2020,1.0,1.33,0.0,7.0,0
20,0,0,0,1,1,1,0,1,32.0,0,Python,2018-2020,1.0,0.5,0.0,16.0,0
13,1,0,0,4,2,1,0,1,7.0,0,Python,2018-2020,1.0,1.33,0.0,3.5,0
13,1,0,0,4,0,1,0,1,18.0,1,Python,2018-2020,0.4,4.0,0.0,9.0,10
13,1,0,0,6,7,1,0,1,2.0,1,Python,2018-2020,0.4,0.75,0.0,1.0,11
15,1,0,0,40,19,2,1,4,23.25,0,Python,2018-2020,1.0,2.0,0.33,7.75,12
16,1,0,0,144,3,2,0,0,0.0,0,Python,2018-2020,1.0,36.0,0.0,0.0,12
11,3,0,0,1,0,1,0,1,7.0,1,Python,2018-2020,0.4,1.0,0.0,3.5,0
10,3,0,0,21,5,2,0,3,9.67,1,Python,2018-2020,0.4,3.5,0.0,3.22,0
14,4,0,0,0,20,1,0,0,0.0,0,Python,2018-2020,1.0,0.0,0.0,0.0,0
22,4,0,1,1,1,1,0,1,10.0,1,Python,2018-2020,0.4,0.5,0.0,5.0,1
22,5,1,1,12,6,3,0,1,6.0,1,Python,2018-2020,0.4,1.71,0.0,1.5,12
23,5,1,1,8,1,1,0,1,11.0,0,Python,2018-2020,1.0,4.0,0.0,5.5,13
6,6,1,0,26,19,1,0,4,6.75,0,Python,2018-2020,1.0,1.3,0.0,3.38,13
16,6,1,0,15,0,1,0,5,5.0,1,Python,2018-2020,0.4,15.0,0.0,2.5,13
23,0,0,1,272,78,4,2,36,2.11,1,Python,2018-2020,0.4,3.44,0.4,0.42,0
14,4,0,0,105,13,3,1,15,6.53,1,Python,2018-2020,0.4,7.5,0.25,1.63,1
18,4,0,0,2,2,1,0,1,7.0,1,Python,2018-2020,0.4,0.67,0.0,3.5,0
5,4,0,1,4,3,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,0
22,4,0,1,44,12,6,2,7,18.14,0,Python,2018-2020,1.0,3.38,0.29,2.59,0
23,1,0,1,1,0,1,0,1,18.0,1,Python,2018-2020,0.4,1.0,0.0,9.0,14
23,1,0,1,101,0,2,1,9,1.0,0,Python,2018-2020,1.0,101.0,0.33,0.33,2
23,1,0,1,34,0,2,0,1,20.0,0,Python,2018-2020,1.0,34.0,0.0,6.67,0
0,3,0,1,17,7,1,0,1,69.0,1,Python,2018-2020,0.4,2.12,0.0,34.5,15
1,4,0,1,672,2,8,2,27,3.33,0,Python,2018-2020,1.0,224.0,0.22,0.37,2
0,6,1,1,3,5,1,0,1,13.0,1,Python,2018-2020,0.4,0.5,0.0,6.5,16
1,6,1,1,18,5,3,1,4,10.25,1,Python,2018-2020,0.4,3.0,0.25,2.56,17
1,6,1,1,1,4,2,0,0,0.0,0,Python,2018-2020,1.0,0.2,0.0,0.0,18
2,6,1,1,1,1,1,0,1,3.0,0,Python,2018-2020,1.0,0.5,0.0,1.5,18
4,6,1,1,7,3,2,0,0,0.0,0,Python,2018-2020,1.0,1.75,0.0,0.0,18
15,0,0,0,13,7,1,0,2,17.0,0,Python,2018-2020,1.0,1.62,0.0,8.5,18
15,0,0,0,16,6,1,0,4,34.5,1,Python,2018-2020,0.4,2.29,0.0,17.25,18
2,1,0,1,13,1,2,1,3,1.0,1,Python,2018-2020,0.4,6.5,0.33,0.33,2
13,1,0,0,6,0,1,0,1,4.0,0,Python,2018-2020,1.0,6.0,0.0,2.0,19
22,1,0,1,167,31,5,1,14,7.64,1,Python,2018-2020,0.4,5.22,0.17,1.27,19
23,1,0,1,2,2,1,0,1,60.0,0,Python,2018-2020,1.0,0.67,0.0,30.0,20
0,2,0,1,26,0,2,1,4,16.5,0,Python,2018-2020,1.0,26.0,0.33,5.5,20
2,2,0,1,3,3,1,0,2,10.0,0,Python,2018-2020,1.0,0.75,0.0,5.0,20
3,2,0,1,5,6,1,0,1,9.0,1,Python,2018-2020,0.4,0.71,0.0,4.5,20
3,2,0,1,19,19,1,0,0,0.0,0,Python,2018-2020,1.0,0.95,0.0,0.0,21
5,3,0,1,45,25,4,1,2,9.5,1,Python,2018-2020,0.4,1.73,0.2,1.9,21
13,3,0,0,2,0,1,0,0,0.0,0,Python,2018-2020,1.0,2.0,0.0,0.0,22
14,3,0,0,2,0,1,0,0,0.0,0,Python,2018-2020,1.0,2.0,0.0,0.0,22
22,3,0,1,4,4,1,0,0,0.0,0,Python,2018-2020,1.0,0.8,0.0,0.0,22
1,4,0,1,19,2,2,1,2,19.0,1,Python,2018-2020,0.4,6.33,0.33,6.33,22
2,4,0,1,45,5,1,0,2,1.0,0,Python,2018-2020,1.0,7.5,0.0,0.5,23
9,4,0,0,2,1,1,0,1,2.0,1,Python,2018-2020,0.4,1.0,0.0,1.0,23
12,4,0,0,4,1,1,0,1,11.0,0,Python,2018-2020,1.0,2.0,0.0,5.5,24
13,1,0,0,2,1,1,0,1,7.0,0,Python,2018-2020,1.0,1.0,0.0,3.5,24
13,1,0,0,130,1,2,0,0,0.0,0,Python,2018-2020,1.0,65.0,0.0,0.0,24
13,1,0,0,2,1,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,24
19,1,0,0,2,1,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,24
0,2,0,1,2,2,1,0,1,13.0,1,Python,2018-2020,0.4,0.67,0.0,6.5,24
0,2,0,1,3,1,1,0,0,0.0,0,Python,2018-2020,1.0,1.5,0.0,0.0,25
15,3,0,0,4,4,1,0,1,13.0,0,Python,2018-2020,1.0,0.8,0.0,6.5,25
7,4,0,0,76,3,7,0,4,10.25,0,Python,2018-2020,1.0,19.0,0.0,1.28,25
17,0,0,0,7,5,3,0,1,2.0,1,Python,2018-2020,0.4,1.17,0.0,0.5,25
