commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
15,2,0,0,16,1,2,0,0,0.0,0,TypeScript,2018-2020,1.0,8.0,0.0,0.0,0
23,2,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
19,4,0,0,15,0,3,1,0,0.0,0,TypeScript,2018-2020,1.0,15.0,0.25,0.0,0
22,6,1,1,298,284,4,0,0,0.0,0,TypeScript,2018-2020,1.0,1.05,0.0,0.0,0
10,0,0,0,296,267,9,1,24,2.5,0,TypeScript,2018-2020,1.0,1.1,0.1,0.25,0
16,0,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
18,0,0,0,4,4,1,0,3,1.33,0,TypeScript,2018-2020,1.0,0.8,0.0,0.66,0
22,6,1,1,1386,797,4,0,0,0.0,0,TypeScript,2018-2020,1.0,1.74,0.0,0.0,0
11,1,0,0,35,0,5,1,3,6.67,0,TypeScript,2018-2020,1.0,35.0,0.17,1.11,0
18,1,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
18,5,1,0,67,70,3,0,0,0.0,0,TypeScript,2018-2020,1.0,0.94,0.0,0.0,0
11,0,0,0,553,407,4,0,0,0.0,0,TypeScript,2018-2020,1.0,1.36,0.0,0.0,0
15,1,0,0,58,1,5,0,3,1.67,0,TypeScript,2018-2020,1.0,29.0,0.0,0.28,0
21,2,0,0,5,5,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.83,0.0,0.0,0
9,4,0,0,12,3,3,0,0,0.0,0,TypeScript,2018-2020,1.0,3.0,0.0,0.0,0
11,0,0,0,336,501,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.67,0.0,0.0,0
10,1,0,0,10,0,2,0,0,0.0,0,TypeScript,2018-2020,1.0,10.0,0.0,0.0,0
10,1,0,0,202,10,6,1,12,2.25,0,TypeScript,2018-2020,1.0,18.36,0.14,0.32,0
19,1,0,0,296,4,12,4,7,3.0,0,TypeScript,2018-2020,1.0,59.2,0.31,0.23,0
8,2,0,0,7,4,4,0,4,4.25,0,TypeScript,2018-2020,1.0,1.4,0.0,0.85,0
21,3,0,0,150,1,8,8,9,1.0,0,TypeScript,2018-2020,1.0,75.0,0.89,0.11,0
12,0,0,0,431,20,14,0,1,17.0,0,TypeScript,2018-2020,1.0,20.52,0.0,1.13,0
12,0,0,0,24,6,4,0,1,10.0,0,TypeScript,2018-2020,1.0,3.43,0.0,2.0,0
12,0,0,0,408,417,4,0,0,0.0,0,TypeScript,2018-2020,1.0,0.98,0.0,0.0,0
20,4,0,0,5,5,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.83,0.0,0.0,0
1,1,0,1,108,63,3,0,5,1.4,0,TypeScript,2018-2020,1.0,1.69,0.0,0.35,0
10,1,0,0,208,196,24,0,10,1.1,0,TypeScript,2018-2020,1.0,1.06,0.0,0.04,0
22,2,0,1,33,33,2,0,6,1.33,0,TypeScript,2018-2020,1.0,0.97,0.0,0.44,0
