commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
20,1,0,0,217,218,10,0,12,1.0,0,TypeScript,2018-2020,1.0,0.99,0.0,0.09,0
20,1,0,0,1,3,2,0,0,0.0,0,TypeScript,2018-2020,1.0,0.25,0.0,0.0,0
22,1,0,1,6,6,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.86,0.0,0.5,0
22,1,0,1,110,0,4,0,5,1.6,0,TypeScript,2018-2020,1.0,110.0,0.0,0.32,0
23,1,0,1,3,3,1,0,3,3.0,1,TypeScript,2018-2020,0.4,0.75,0.0,1.5,0
20,3,0,0,45,1,2,0,2,2.5,1,TypeScript,2018-2020,0.4,22.5,0.0,0.83,0
22,3,0,1,4,4,1,0,1,1.0,1,TypeScript,2018-2020,0.4,0.8,0.0,0.5,0
19,6,1,0,154,188,13,0,13,1.0,0,TypeScript,2018-2020,1.0,0.81,0.0,0.07,0
19,6,1,0,27,40,6,0,6,1.0,0,TypeScript,2018-2020,1.0,0.66,0.0,0.14,0
19,6,1,0,14,21,2,0,3,1.0,0,TypeScript,2018-2020,1.0,0.64,0.0,0.33,0
19,6,1,0,24,14,1,0,1,1.0,0,TypeScript,2018-2020,1.0,1.6,0.0,0.5,0
19,6,1,0,20,26,1,0,1,4.0,0,TypeScript,2018-2020,1.0,0.74,0.0,2.0,0
20,1,0,0,42,0,2,0,0,0.0,0,TypeScript,2018-2020,1.0,42.0,0.0,0.0,0
12,4,0,0,2,4,1,0,4,1.0,0,TypeScript,2018-2020,1.0,0.4,0.0,0.5,1
16,1,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
23,1,0,1,45,7,2,0,3,7.67,1,TypeScript,2018-2020,0.4,5.62,0.0,2.56,0
17,3,0,0,15,9,1,0,1,12.0,0,TypeScript,2018-2020,1.0,1.5,0.0,6.0,1
4,4,0,1,5,4,2,0,2,7.0,0,TypeScript,2018-2020,1.0,1.0,0.0,2.33,0
21,5,1,0,2,2,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.67,0.0,0.5,0
21,0,0,0,61,16,3,0,5,1.4,0,TypeScript,2018-2020,1.0,3.59,0.0,0.35,1
22,0,0,1,56,22,4,0,5,5.4,0,TypeScript,2018-2020,1.0,2.43,0.0,1.08,1
22,0,0,1,2,2,2,0,4,3.0,0,TypeScript,2018-2020,1.0,0.67,0.0,1.0,1
20,2,0,0,20,6,2,0,2,2.5,0,TypeScript,2018-2020,1.0,2.86,0.0,0.83,1
7,3,0,0,38,36,1,0,4,1.5,0,TypeScript,2018-2020,1.0,1.03,0.0,0.75,1
23,5,1,1,39,4,2,0,3,5.33,1,TypeScript,2018-2020,0.4,7.8,0.0,1.78,0
16,6,1,0,73,3,2,0,1,1.0,0,TypeScript,2018-2020,1.0,18.25,0.0,0.33,1
10,2,0,0,20,2,2,0,2,1.0,1,TypeScript,2018-2020,0.4,6.67,0.0,0.33,1
11,5,1,0,2,2,1,0,1,1.0,0,TypeScript,2018-2020,1.0,0.67,0.0,0.5,2
9,6,1,0,5,52,5,0,7,1.29,0,TypeScript,2018-2020,1.0,0.09,0.0,0.22,0
9,6,1,0,0,47,1,0,2,1.0,0,TypeScript,2018-2020,1.0,0.0,0.0,0.5,0
9,6,1,0,1,8,1,0,2,5.5,0,TypeScript,2018-2020,1.0,0.11,0.0,2.75,0
9,6,1,0,103,100,11,0,11,1.0,0,TypeScript,2018-2020,1.0,1.02,0.0,0.08,0
12,6,1,0,2,2,1,0,1,1.0,1,TypeScript,2018-2020,0.4,0.67,0.0,0.5,1
16,6,1,0,30,0,1,1,0,0.0,0,TypeScript,2018-2020,1.0,30.0,0.5,0.0,0
22,0,0,1,5,7,3,0,0,0.0,0,TypeScript,2018-2020,1.0,0.62,0.0,0.0,2
22,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,0,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,0,0,1,6,6,2,0,5,2.6,0,TypeScript,2018-2020,1.0,0.86,0.0,0.87,2
22,0,0,1,5,5,3,0,10,3.0,1,TypeScript,2018-2020,0.4,0.83,0.0,0.75,2
10,1,0,0,24,27,3,0,7,4.57,0,TypeScript,2018-2020,1.0,0.86,0.0,1.14,3
19,1,0,0,31,0,3,0,3,1.0,0,TypeScript,2018-2020,1.0,31.0,0.0,0.25,3
17,2,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
22,3,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,1
10,2,0,0,69,36,2,0,4,3.25,0,TypeScript,2018-2020,1.0,1.86,0.0,1.08,3
16,6,1,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
10,0,0,0,18,50,5,0,7,2.57,1,TypeScript,2018-2020,0.4,0.35,0.0,0.43,0
10,2,0,0,0,3,2,0,1,2.0,0,TypeScript,2018-2020,1.0,0.0,0.0,0.67,3
13,2,0,0,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,3
19,2,0,0,16,8,2,0,6,2.33,0,TypeScript,2018-2020,1.0,1.78,0.0,0.78,1
20,2,0,0,1,1,1,1,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.5,0.0,0
17,3,0,0,34,28,1,0,8,2.5,0,TypeScript,2018-2020,1.0,1.17,0.0,1.25,0
17,3,0,0,74,84,1,0,4,8.25,0,TypeScript,2018-2020,1.0,0.87,0.0,4.12,0
22,3,0,1,21,17,3,1,0,0.0,0,TypeScript,2018-2020,1.0,1.17,0.25,0.0,0
22,4,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,3
14,5,1,0,93,77,1,0,13,2.0,0,TypeScript,2018-2020,1.0,1.19,0.0,1.0,3
16,5,1,0,7,8,1,0,2,3.0,0,TypeScript,2018-2020,1.0,0.78,0.0,1.5,3
16,5,1,0,22,18,4,0,4,2.5,0,TypeScript,2018-2020,1.0,1.16,0.0,0.5,0
17,5,1,0,10,13,1,0,2,1.0,0,TypeScript,2018-2020,1.0,0.71,0.0,0.5,0
2,0,0,1,119,73,1,0,1,1.0,0,TypeScript,2018-2020,1.0,1.61,0.0,0.5,0
16,1,0,0,1,6,2,0,4,10.75,0,TypeScript,2018-2020,1.0,0.14,0.0,3.58,2
14,4,0,0,20,1,2,0,2,2.5,1,TypeScript,2018-2020,0.4,10.0,0.0,0.83,1
14,4,0,0,34,3,1,0,0,0.0,1,TypeScript,2018-2020,0.4,8.5,0.0,0.0,3
11,0,0,0,8,0,2,0,0,0.0,0,TypeScript,2018-2020,1.0,8.0,0.0,0.0,4
11,0,0,0,517,115,7,0,17,5.53,0,TypeScript,2018-2020,1.0,4.46,0.0,0.69,4
22,3,0,1,1,1,1,0,0,0.0,0,TypeScript,2018-2020,1.0,0.5,0.0,0.0,0
23,5,1,1,45,14,2,0,8,3.38,1,TypeScript,2018-2020,0.4,3.0,0.0,1.13,4
17,6,1,0,18,19,13,0,21,3.76,0,TypeScript,2018-2020,1.0,0.9,0.0,0.27,5
23,0,0,1,44,2,3,0,3,3.33,1,TypeScript,2018-2020,0.4,14.67,0.0,0.83,5
17,1,0,0,331,3,6,0,10,1.4,0,TypeScript,2018-2020,1.0,82.75,0.0,0.2,6
22,1,0,1,32,0,1,0,1,1.0,0,TypeScript,2018-2020,1.0,32.0,0.0,0.5,6
9,5,1,0,6,37,2,0,2,17.0,0,TypeScript,2018-2020,1.0,0.16,0.0,5.67,1
9,5,1,0,16,1,2,0,2,17.0,0,TypeScript,2018-2020,1.0,8.0,0.0,5.67,1
9,5,1,0,8,24,2,0,2,15.0,0,TypeScript,2018-2020,1.0,0.32,0.0,5.0,1
9,5,1,0,21,3,2,0,2,15.5,0,TypeScript,2018-2020,1.0,5.25,0.0,5.17,1
11,5,1,0,9,1,1,0,4,3.5,0,TypeScript,2018-2020,1.0,4.5,0.0,1.75,0
11,5,1,0,38,8,2,0,4,2.25,0,TypeScript,2018-2020,1.0,4.22,0.0,0.75,0
13,5,1,0,38,0,1,0,1,1.0,0,TypeScript,2018-2020,1.0,38.0,0.0,0.5,6
16,5,1,0,43,12,2,0,8,2.25,1,TypeScript,2018-2020,0.4,3.31,0.0,0.75,6
16,5,1,0,33,4,4,0,6,9.67,1,TypeScript,2018-2020,0.4,6.6,0.0,1.93,7
6,6,1,0,29,12,7,0,9,2.44,0,TypeScript,2018-2020,1.0,2.23,0.0,0.3,0
